id,theta_2PL,se_2PL,theta_1PL,se_1PL
1,-0.9119163785108297,0.8379877182518061,-1.0554939042752585,0.7936852262945893
2,0.16030343701798996,0.49144842326436766,0.11656468929844108,0.5806583454853816
3,1.369864740558179,0.6395196359866483,1.2049048998145708,0.638248544123742
4,-0.11388772580098412,0.483466895710725,-0.2192850419505637,0.5798488847737739
5,-0.0807050570940304,0.4834702575105206,-0.21928504195056395,0.5798488847737739
6,0.747634892011364,0.5484229304797543,0.817076757140977,0.6090083105987706
7,-0.22421524973159784,0.4850434853967932,0.11656468929844105,0.5806583454853818
8,-0.11388772580098412,0.483466895710725,-0.2192850419505637,0.5798488847737739
9,0.6497822678490182,0.5365926767899782,0.8170767571409769,0.6090083105987706
10,0.1352389249221033,0.48998589919557023,-0.21928504195056397,0.5798488847737742
11,-0.22715123999377784,0.4851140963027422,-0.2192850419505639,0.5798488847737742
12,1.1291088364706658,0.6022229377185689,1.2049048998145706,0.6382485441237418
13,-1.2308120920214143,0.5825684407492392,-0.9137098301735611,0.6047106626516954
14,0.5148167338659793,0.5217830993561043,0.45846982838184763,0.5902457864696803
15,-0.3594329432183352,0.48947852305321216,-0.21928504195056372,0.579848884773774
16,0.0250915975466892,0.4852341583290302,0.11656468929844105,0.5806583454853816
17,-0.4214439017090802,0.4922292115235523,-0.559223629948804,0.5876695275039814
18,0.020989034592037922,0.48511390568604046,0.11656468929844102,0.5806583454853818
19,-0.7459872853524714,0.5158566458783942,-0.5592236299488043,0.5876695275039815
20,1.1407168237904468,0.6039917894699895,0.8170767571409769,0.6090083105987707
21,-0.7467139820478403,0.515931112326834,-0.559223629948804,0.5876695275039815
22,0.05550224144815724,0.48625621916718365,0.11656468929844095,0.5806583454853815
23,0.6109476229873887,0.5321566408200713,0.8170767571409772,0.6090083105987705
24,-0.4214439017090802,0.4922292115235523,-0.559223629948804,0.5876695275039814
25,1.5553965957770506,0.6684628763997974,1.6376087363486298,0.679183224386796
26,0.9698107734082737,0.5785469375147227,0.8170767571409767,0.6090083105987705
27,-0.4436900638940441,0.4933252591011707,-0.5592236299488038,0.5876695275039814
28,0.04344023458771232,0.48582340251515377,0.11656468929844105,0.5806583454853816
29,0.6207787763592183,0.5332659423137157,0.45846982838184747,0.5902457864696804
